Message,Severity,Explanation,Recommended Action
"MM-0-MM_TASK_CREATE_ERR: ""MobilityHa task message could not be initialized --exiting""",0-Emergency,LOG_EXPL_SYSERR,The mobility High Availability services failed to start correctly.  
"MM-0-MOBILITY_HA_MSG_QUEUE_ERR: MobilityHa task message queue not initialized --exiting""",0-Emergency,The mobility High Availability services failed to start correctly.  ,Standard Recommended Action
"MM-0-MOBILITY_TASK_EXITED: ""mmMobility task did not receive a task control block --exiting""",0-Emergency,LOG_EXPL_SYSERR,The mobility services failed to start correctly.  
"MM-0-MOBILITY_TASK_FAILED_TO_START: ""%s task could not be started. The system will be rebooted""",0-Emergency,LOG_EXPL_SYSERR,The mobility services failed to start correctly.  
"MM-0-MSG_RECV_FAILED: "" %s : msg recv failed \r\n """,0-Emergency,LOG_EXPL_SYSERR,msg recv failed.  
"MM-0-MULTICAST_GROUP_IP_SET_ERROR: ""Error in %s while setting local moblity group multicast IP Address %u.%u.%u.%u. Please disable mobility multicast-mode if this error continues.""",0-Emergency,Mobility is unable to use multicast for messaging.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
MM-0-NOTIFICATION_TIMER_CREATION_FAILED: MSG_TRACEBACK,0-Emergency,Could not create timer,Standard Recommended Action
MM-0-NOTIFY_FUNCTION_NULL: MSG_TRACEBACK,0-Emergency,Could not process the mmquery request,Standard Recommended Action
"MM-0-QUEUE_CREATE_FAILED: "" %s : Queue Creation Failed \r\n """,0-Emergency,LOG_EXPL_SYSERR,Queue Creation Failed.  
"MM-1-ANCHOR_SEND_FAILED: ""Unable to send Anchor Close/Transfer message to %d.%d.%d.%d due to memory allocation failure.""",1-Alert,The system may be running low on memory.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-1-ANCHOR_SEND_FAILED_IPV6: ""Unable to send Anchor Close/Transfer message to %s due to memory allocation failure.""",1-Alert,The system may be running low on memory.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-1-ANCHOR_UNAVAILABLE: ""All export anchors are down. Cannot anchor the client.%02x:%02x:%02x:%02x:%02x:%02x""",1-Alert,No export anchors are up to anchor the client.,If this message occurs
"MM-1-ANCHORS_DOWN: "" All Export-Anchors are down on WLAN %d """,1-Alert, All Export-Anchors are down on WLAN ,If this message occurs
"MM-1-APENTRY_ADD_FAILED: ""Unable to create ap-list entry for AP %02x:%02x%02x:%02x:%02x%02x """,1-Alert,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-1-CLIENT_SHUNNED: ""Adding client %02x:%02x:%02x:%02x:%02x:%02x to exclusion list as a result of an IDS shun event for %u.%u.%u.%u""",1-Alert,Adding a client to exclusion list as a result of an IDS shun event.,No action is required
"MM-1-GUEST_LAN_ANCHORS_DOWN:  All Export-Anchors are down on Guest LAN %d """,1-Alert, All Export-Anchors are down on Guest LAN ,If this message occurs
"MM-1-IPSECPAYLOAD_BUILD_FAILED: ""Unable to build IPSec export data.""",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"MM-1-MOBILITYUSER_STATECREATE_FAILED: ""Unable to create mobility state for user %s.""",1-Alert,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-1-SSHRULE_CREATE_FAILED: ""Failed to %s the SSH Rule for ip %s",1-Alert,LOG_EXPL_SYSERR,Standard Recommended Action
"MM-1-USER_NOT_ALLOWED: ""Unable to allow user %s into the system. %s.""",1-Alert,Unable to allow the user into the system for the reported reason.,No action is required
"MM-2-INIT_FAILED: ""Error while initializing mobility manager: %s.""",2-Critical,Error while initializing mobility manager. ,If this error is seen
"MM-3-ACLNAM_GET_FAILED: Unable to get acl name for intfAclId %d""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"MM-3-ANCHOR_DEL_FAILD: ""Failed to delete wlan ID in heartbeat list: IP: %u.%u.%u.%u",3-Error,LOG_EXPL_SYSERR,Re configure mobility anchor list for this WLAN.
"MM-3-APENTRY_DEL_FAILED: ""Could not delete an AP from the AP list.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-BUFF_ALLOC_FAILED: ""Could not allocate a system buffer. %s.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-BUFF_DEALLOC_FAILED: ""Could not deallocate a system buffer. %s.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-CLIENT_ADD_MSG_SEND_ERROR: ""Unable to send heartbeat list client add message to mobility task""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-CLIENT_DELETE_MSG_SEND_ERROR: ""Unable to send heartbeat list client delete message to mobility task""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-CONFIGDOWNLOAD_FAILED: ""Failed to send a config download %s packet to %u.%u.%u.%u.""",3-Error,Failed to send a configdownload packet.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-EXPORT_MSG_SEND_ERROR1: ""Unable to send WiredClientAnchorExport message to mobility task""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-EXPORT_MSG_SEND_ERROR2: ""Failed to send AnchorExport message",3-Error,Foreign did not send mobility message because mobile was not found,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-EXPORTANCHOR_REQPROC_FAILED: ""Anchor Export Request from controller",3-Error,Anchor Export Request from controller is ignored.,This message implies that the WLAN configuration needs change to alleviate the reported error.
"MM-3-FIND_CLIENT_INTF_GROUP_FAIL: ""Unable to find Interface Group %s referenced for client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Interface Group referenced for client could not be found due to an internal error.,Try to deauthenticate that client
"MM-3-FOREIGN_CREATE_FAILED: ""Could not add foreign mapping to wlan: %d",3-Error,Foreign mapping could not be created.,Re configure foreign-map list for this WLAN.  
"MM-3-HB_LIST_MSG_SEND_ERROR: ""Unable to send heartbeat list update message to mobility task""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-HB_MSG_SEND_FAIL: ""Failed to send Heartbeat message to mmMsgQ.""",3-Error,Failed to send a Heartbeat message to mmMsgQ.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INET_ANCHOR_ADD_FAILED: ""Failed to add wlanId in heartbeat list: IP: %s",3-Error,LOG_EXPL_SYSERR,Re configure mobility anchor list for this WLAN. 
"MM-3-INET_ANCHOR_DEL_FAILED: ""Failed to delete wlan ID in heartbeat list: IP: %s",3-Error,LOG_EXPL_SYSERR,Re configure mobility anchor list for this WLAN.
MM-3-INET_EXPORTANCHOR_REQPROC_FAILED: Anchor Export Request from controller,3-Error,Anchor Export Request from controller is ignored.,This message implies that the WLAN configuration needs change to alleviate the reported error.
"MM-3-INET_MULTICAST_GROUP_SEND_ERROR: Unable to send multicast mobility message. %s """,3-Error,Mobility is unable to use multicast for messaging.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INET_PKT_NULL: Received a NULL mobility packet from %s.""",3-Error,NULL Mobility Packet received,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INET_SEND_FAILED: ""Unable to send %s to %s""",3-Error,Unable to send a mobility packet.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INET_SEND_FAILED_FOR_CLIENT: ""Unable to send %s to %s for the client %02x:%02x:%02x:%02x:%02x:%02x """,3-Error,Unable to send a mobility packet.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
MM-3-INET_SOCK_SET_ADDRESS_OPTION_FAILED: MSG_TRACEBACK,3-Error, A socket operation has failed. Multicast mode will not work for mobility.,Set the local group multicast address again. If thissame message appears
"MM-3-INTF_GROUP_PEER_VLAN_NULL_ERROR: ""Unexpected NULL paramenters for mobile client %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Unexpected NULL paramenters for a mobile client due to an internal error.,Try to deauthenticate the client
"MM-3-INTFCHANGE_REGISTER_FAILED: Failed to register callback for interface changes""",3-Error,LOG_EXPL_SYSERR,Standard Recommended Action
"MM-3-INVALID_APLISTUPD_RECEIVED: ""Received invalid ap-list-update from %s. Entries:%d",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_APLISTUPD_RECVD: ""Received invalid ap-list-update from %u.%u.%u.%u. Entries:%d",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_CIDSUPD_RECV: ""Received invalid cids-update from %u.%u.%u.%u. Entries:%d",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_NONCE_RECVD: ""Received an invalid Nonce-update from %s. %s.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_PMKDEL_RECVD: ""Received PMK-delete from %s with no StationAddress TLV.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_PMKUPD_RECVD: ""Received an invalid PMK-update from %s %s.""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_SIM_MSG: ""Received invalid address change msg from sim module""",3-Error,The management IP address for wireless may have changed but the mobility module is not able to process that message,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_STDBY_STATE: Invalid Standby activity or status: %s.""",3-Error,Some activities or status should not be observed in the standby,Standard Recommended Action
"MM-3-INVALID_WEPDEL_RECVD: ""Received WEP-Key-delete from %u.%u.%u.%u with no Station Address TLV""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-INVALID_WEPUPD_RECVD: ""Received an invalid WEP-Key-update from %u.%u.%u.%u. %s""",3-Error,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-KEEPALIVE_FAILED: ""Failure happened when sending a keepalive event",3-Error,Event ID might be wrong when sending a keepalive event message,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-LOCMARK_FAILED: ""Unable to mark the mobility location of client to unknown.""",3-Error,Unable to mark the mobility location of client to unknown.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"MM-3-MEM_ALLOC_ERROR1: ""No memory to send WiredClientAnchorExport message to mobility task for WGB %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The system may be running low on memory.,Standard Recommended Action
